,mean,std,min,max,policy,history
69,1313.3142251614713,,1313.3142251614713,1313.3142251614713,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
70,1279.5091651171995,,1279.5091651171995,1279.5091651171995,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
71,1279.0067217962344,,1279.0067217962344,1279.0067217962344,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
72,1294.3013610456594,,1294.3013610456594,1294.3013610456594,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
73,1279.6820417689191,,1279.6820417689191,1279.6820417689191,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
74,1259.695417862457,,1259.695417862457,1259.695417862457,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
75,1266.1616328963992,,1266.1616328963992,1266.1616328963992,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
76,1301.4432975101286,,1301.4432975101286,1301.4432975101286,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
77,1278.4411263830548,,1278.4411263830548,1278.4411263830548,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
78,1309.550860375359,,1309.550860375359,1309.550860375359,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
79,1254.8419735767645,,1254.8419735767645,1254.8419735767645,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
80,1251.3519488804138,,1251.3519488804138,1251.3519488804138,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
81,1267.1580822083572,,1267.1580822083572,1267.1580822083572,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
82,1242.6351464412041,,1242.6351464412041,1242.6351464412041,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
83,1233.3393079262573,,1233.3393079262573,1233.3393079262573,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
84,1240.6798066071299,,1240.6798066071299,1240.6798066071299,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
85,1246.2975076459966,,1246.2975076459966,1246.2975076459966,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
86,1218.4924435126934,,1218.4924435126934,1218.4924435126934,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
87,1286.1250986707644,,1286.1250986707644,1286.1250986707644,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
88,1252.4686307284035,,1252.4686307284035,1252.4686307284035,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
89,1232.778287526642,,1232.778287526642,1232.778287526642,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
90,1283.0444911923205,,1283.0444911923205,1283.0444911923205,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
91,1239.4169203824874,,1239.4169203824874,1239.4169203824874,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
92,1294.0344314347149,,1294.0344314347149,1294.0344314347149,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
93,1283.6338113041004,,1283.6338113041004,1283.6338113041004,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
94,1224.3569717815144,,1224.3569717815144,1224.3569717815144,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
95,1338.3523857913624,,1338.3523857913624,1338.3523857913624,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
96,1263.9550499420966,,1263.9550499420966,1263.9550499420966,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
97,1237.0341391872744,,1237.0341391872744,1237.0341391872744,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
98,1290.3556142540124,,1290.3556142540124,1290.3556142540124,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
99,1275.199180881186,,1275.199180881186,1275.199180881186,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
100,1231.8407177735698,,1231.8407177735698,1231.8407177735698,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
101,1341.4157578817446,,1341.4157578817446,1341.4157578817446,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
102,1221.683373357865,,1221.683373357865,1221.683373357865,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
103,1317.556065943427,,1317.556065943427,1317.556065943427,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
104,1281.8601385886336,,1281.8601385886336,1281.8601385886336,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
105,1269.7697793364418,,1269.7697793364418,1269.7697793364418,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
106,1223.12309095893,,1223.12309095893,1223.12309095893,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
107,1254.5899779055633,,1254.5899779055633,1254.5899779055633,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
108,1274.698295800586,,1274.698295800586,1274.698295800586,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
109,1246.1305457091553,,1246.1305457091553,1246.1305457091553,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
110,1261.8215785921311,,1261.8215785921311,1261.8215785921311,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
111,1301.3409859061678,,1301.3409859061678,1301.3409859061678,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
112,1237.3611236796814,,1237.3611236796814,1237.3611236796814,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
113,1251.8073117074384,,1251.8073117074384,1251.8073117074384,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
114,1253.9624717078152,,1253.9624717078152,1253.9624717078152,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
115,1256.7446228720253,,1256.7446228720253,1256.7446228720253,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
116,1256.3235892159946,,1256.3235892159946,1256.3235892159946,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
117,1293.9640336853877,,1293.9640336853877,1293.9640336853877,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
118,1268.7897109642736,,1268.7897109642736,1268.7897109642736,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
119,1270.197017194951,,1270.197017194951,1270.197017194951,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
120,1232.0820933520179,,1232.0820933520179,1232.0820933520179,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
121,1269.7236642391224,,1269.7236642391224,1269.7236642391224,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
122,1268.0842926023086,,1268.0842926023086,1268.0842926023086,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
123,1273.8803111415352,,1273.8803111415352,1273.8803111415352,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
124,1259.4228059442273,,1259.4228059442273,1259.4228059442273,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
125,1344.6137364507094,,1344.6137364507094,1344.6137364507094,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
126,1364.9527057443574,,1364.9527057443574,1364.9527057443574,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
127,1120.822988838347,,1120.822988838347,1120.822988838347,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu
128,1434.1723891519737,,1434.1723891519737,1434.1723891519737,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
129,1307.7900620479152,,1307.7900620479152,1307.7900620479152,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
130,1310.7017546066068,,1310.7017546066068,1310.7017546066068,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
131,1286.897027794241,,1286.897027794241,1286.897027794241,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
