,index,history,avg_datarate,playing_time,down_time
47,3372,virtual_deployment_units_con:transcoder-image-1-con,939.9578786954131,291.0,9.0
48,3373,virtual_deployment_units_con:transcoder-image-1-con,736.5971958140532,300.0,0.0
49,3374,virtual_deployment_units_con:transcoder-image-1-con,875.0726996858915,300.0,0.0
50,3375,virtual_deployment_units_con:transcoder-image-1-con,865.9405169884363,300.0,0.0
51,3376,virtual_deployment_units_con:transcoder-image-1-con,875.0630117456118,300.0,0.0
52,3377,virtual_deployment_units_con:transcoder-image-1-con,834.4464339222759,300.0,0.0
53,3378,virtual_deployment_units_con:transcoder-image-1-con,871.1335362990698,300.0,0.0
54,3379,virtual_deployment_units_con:transcoder-image-1-con,856.414482096831,300.0,0.0
55,3380,virtual_deployment_units_con:transcoder-image-1-con,868.1594893833002,300.0,0.0
56,3381,virtual_deployment_units_con:transcoder-image-1-con,859.3080998957157,300.0,0.0
57,3382,virtual_deployment_units_con:transcoder-image-1-con,864.256089925766,300.0,0.0
58,3383,virtual_deployment_units_con:transcoder-image-1-con,862.3494665359574,299.0,1.0
59,3384,virtual_deployment_units_con:transcoder-image-1-con,852.2712904897829,300.0,0.0
60,3385,virtual_deployment_units_con:transcoder-image-1-con,844.1005662316456,300.0,0.0
61,3386,virtual_deployment_units_con:transcoder-image-1-con,857.2128024227762,300.0,0.0
62,3387,virtual_deployment_units_con:transcoder-image-1-con,851.9865416983763,300.0,0.0
63,3388,virtual_deployment_units_con:transcoder-image-1-con,880.1900385816892,300.0,0.0
64,3389,virtual_deployment_units_con:transcoder-image-1-con,858.2845521966616,300.0,0.0
65,3390,virtual_deployment_units_con:transcoder-image-1-con,849.4658836722374,300.0,0.0
66,3391,virtual_deployment_units_con:transcoder-image-1-con,739.2166230082512,300.0,0.0
67,3392,virtual_deployment_units_con:transcoder-image-1-con,739.7729735510006,299.0,1.0
68,3393,virtual_deployment_units_con:transcoder-image-1-con,848.7674946586291,300.0,0.0
69,3394,virtual_deployment_units_con:transcoder-image-1-con,740.7001875837644,300.0,0.0
70,3395,virtual_deployment_units_con:transcoder-image-1-con,737.5343073407809,300.0,0.0
71,3396,virtual_deployment_units_con:transcoder-image-1-con,881.2495151162148,300.0,0.0
72,3397,virtual_deployment_units_con:transcoder-image-1-con,870.5796012716988,300.0,0.0
73,3398,virtual_deployment_units_con:transcoder-image-1-con,864.1475891073545,300.0,0.0
74,3399,virtual_deployment_units_con:transcoder-image-1-con,861.9015576442083,300.0,0.0
75,3400,virtual_deployment_units_con:transcoder-image-1-con,845.6114722369239,300.0,0.0
76,3401,virtual_deployment_units_con:transcoder-image-1-con,834.5733338803984,300.0,0.0
77,3402,virtual_deployment_units_con:transcoder-image-1-con,864.8131609956423,300.0,0.0
78,3403,virtual_deployment_units_con:transcoder-image-1-con,854.8204390207926,300.0,0.0
79,3404,virtual_deployment_units_con:transcoder-image-1-con,875.3912325700124,300.0,0.0
80,3405,virtual_deployment_units_con:transcoder-image-1-con,868.5877847671509,300.0,0.0
81,3406,virtual_deployment_units_con:transcoder-image-1-con,848.9576808385626,299.0,1.0
82,3407,virtual_deployment_units_con:transcoder-image-1-con,872.6055933535099,300.0,0.0
83,3408,virtual_deployment_units_con:transcoder-image-1-con,838.6045212546984,300.0,0.0
84,3409,virtual_deployment_units_con:transcoder-image-1-con,871.6144675016403,300.0,0.0
85,3410,virtual_deployment_units_con:transcoder-image-1-con,869.3178118268648,300.0,0.0
86,3411,virtual_deployment_units_con:transcoder-image-1-con,855.2386937624154,300.0,0.0
87,3412,virtual_deployment_units_con:transcoder-image-1-con,854.0242120623589,300.0,0.0
88,3413,virtual_deployment_units_con:transcoder-image-1-con,850.3886998693148,300.0,0.0
89,3414,virtual_deployment_units_con:transcoder-image-1-con,857.7141144871712,300.0,0.0
90,3415,virtual_deployment_units_con:transcoder-image-1-con,738.3423994978269,300.0,0.0
91,3416,virtual_deployment_units_con:transcoder-image-1-con,738.440668004811,299.0,1.0
92,3417,virtual_deployment_units_con:transcoder-image-1-con,847.3765826225281,300.0,0.0
93,3418,virtual_deployment_units_con:transcoder-image-1-con,741.1241439978281,300.0,0.0
94,3419,virtual_deployment_units_con:transcoder-image-1-con,743.6992791295052,300.0,0.0
95,3420,virtual_deployment_units_con:transcoder-image-1-con,875.2663305401802,300.0,0.0
96,3421,virtual_deployment_units_con:transcoder-image-1-con,868.9988601207733,300.0,0.0
97,3422,virtual_deployment_units_con:transcoder-image-1-con,857.7914324348482,300.0,0.0
98,3423,virtual_deployment_units_con:transcoder-image-1-con,839.6663095057011,300.0,0.0
99,3424,virtual_deployment_units_con:transcoder-image-1-con,880.9814018011093,300.0,0.0
100,3425,virtual_deployment_units_con:transcoder-image-1-con,874.042812983195,300.0,0.0
101,3426,virtual_deployment_units_con:transcoder-image-1-con,854.2808578411738,300.0,0.0
102,3427,virtual_deployment_units_con:transcoder-image-1-con,862.3209774494171,300.0,0.0
103,3428,virtual_deployment_units_con:transcoder-image-1-con,858.9407336711884,300.0,0.0
104,3429,virtual_deployment_units_con:transcoder-image-1-con,870.3684585548963,299.0,1.0
105,3430,virtual_deployment_units_con:transcoder-image-1-con,851.4873498181502,300.0,0.0
106,3431,virtual_deployment_units_con:transcoder-image-1-con,867.0665439342459,300.0,0.0
107,3432,virtual_deployment_units_con:transcoder-image-1-con,869.161924024423,300.0,0.0
108,3433,virtual_deployment_units_con:transcoder-image-1-con,864.434053103129,300.0,0.0
109,3434,virtual_deployment_units_con:transcoder-image-1-con,870.7087716460228,300.0,0.0
110,3435,virtual_deployment_units_con:transcoder-image-1-con,872.903730471929,300.0,0.0
111,3436,virtual_deployment_units_con:transcoder-image-1-con,863.83201207888,300.0,0.0
112,3437,virtual_deployment_units_con:transcoder-image-1-con,742.1337248881658,300.0,0.0
113,3438,virtual_deployment_units_con:transcoder-image-1-con,741.4007105157527,299.0,1.0
114,3439,virtual_deployment_units_con:transcoder-image-1-con,862.056219180425,300.0,0.0
115,3440,virtual_deployment_units_con:transcoder-image-1-con,742.1468117833138,300.0,0.0
116,3441,virtual_deployment_units_con:transcoder-image-1-con,742.1023420492808,300.0,0.0
117,3442,virtual_deployment_units_con:transcoder-image-1-con,870.4617901643118,300.0,0.0
118,3443,virtual_deployment_units_con:transcoder-image-1-con,865.0155714154243,300.0,0.0
119,3444,virtual_deployment_units_con:transcoder-image-1-con,862.9706515868505,300.0,0.0
120,3445,virtual_deployment_units_con:transcoder-image-1-con,857.1865738431612,300.0,0.0
121,3446,virtual_deployment_units_con:transcoder-image-1-con,870.673588514328,300.0,0.0
122,3447,virtual_deployment_units_con:transcoder-image-1-con,850.64964417601,300.0,0.0
123,3448,virtual_deployment_units_con:transcoder-image-1-con,849.929546713829,300.0,0.0
124,3449,virtual_deployment_units_con:transcoder-image-1-con,843.4518753046481,300.0,0.0
125,3450,virtual_deployment_units_con:transcoder-image-1-con,846.685734786168,299.0,1.0
126,3451,virtual_deployment_units_con:transcoder-image-1-con,860.9825702508291,300.0,0.0
