,pc_100,pc_100,pc_100,pc_100,pc_100,pc_100,pc_95,pc_95,pc_95,pc_95,pc_95,pc_95,pc_90,pc_90,pc_90,pc_90,pc_90,pc_90,pc_85,pc_85,pc_85,pc_85,pc_85,pc_85,pc_80,pc_80,pc_80,pc_80,pc_80,pc_80,pc_75,pc_75,pc_75,pc_75,pc_75,pc_75,pc_70,pc_70,pc_70,pc_70,pc_70,pc_70,pc_65,pc_65,pc_65,pc_65,pc_65,pc_65,pc_60,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history,history
,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded,downtime,buffertime,switchtime,wrongversion,under_utilized,over_loaded
40,216,216,360,0,0,0,210,210,350,30,30,0,240,240,400,165,0,165,438,438,730,490,490,0,420,420,700,530,0,530,528,528,880,1060,1060,0,603,603,1005,1380,0,1380,702,702,1170,1725,0,1725,414,414,690,2020,2020,0,1998,1998,7890,2787,203,167
41,216,216,360,0,0,0,216,216,360,40,0,40,312,312,520,195,195,0,264,264,440,270,0,270,429,429,715,630,0,630,588,588,980,1145,1145,0,648,648,1080,1370,0,1370,402,402,670,1775,1775,0,420,420,700,2020,2020,0,1998,1998,7890,2787,203,167
42,216,216,360,0,0,0,228,228,380,35,35,0,234,234,390,100,0,100,312,312,520,345,0,345,486,486,810,780,780,0,570,570,950,935,0,935,600,600,1000,1300,0,1300,705,705,1175,1770,0,1770,699,699,1165,2225,0,2225,1998,1998,7890,2787,203,167
43,216,216,360,0,0,0,222,222,370,30,0,30,318,318,530,210,210,0,300,300,500,300,0,300,435,435,725,595,0,595,546,546,910,1110,1110,0,642,642,1070,1260,0,1260,462,462,770,1745,1745,0,777,777,1295,2220,0,2220,1998,1998,7890,2787,203,167
44,216,216,360,0,0,0,234,234,390,25,0,25,282,282,470,205,205,0,450,450,750,435,435,0,381,381,635,540,0,540,531,531,885,960,0,960,705,705,1175,1255,0,1255,684,684,1140,1775,0,1775,756,756,1260,2130,0,2130,1998,1998,7890,2787,203,167
45,216,216,360,0,0,0,216,216,360,55,0,55,318,318,530,220,220,0,303,303,505,270,0,270,486,486,810,755,755,0,522,522,870,960,0,960,486,486,810,1400,1400,0,474,474,790,1705,1705,0,678,678,1130,2145,0,2145,1998,1998,7890,2787,203,167
46,216,216,360,0,0,0,234,234,390,40,40,0,228,228,380,120,0,120,282,282,470,340,0,340,486,486,810,790,790,0,510,510,850,1070,1070,0,648,648,1080,1340,0,1340,468,468,780,1725,1725,0,765,765,1275,2230,0,2230,1998,1998,7890,2787,203,167
47,216,216,360,0,0,0,198,198,330,25,0,25,300,300,500,185,185,0,300,300,500,315,0,315,528,528,880,730,730,0,546,546,910,1035,0,1035,492,492,820,1465,1465,0,699,699,1165,1685,0,1685,438,438,730,1905,1905,0,1998,1998,7890,2787,203,167
48,216,216,360,0,0,0,210,210,350,30,0,30,294,294,490,200,200,0,462,462,770,460,460,0,504,504,840,825,825,0,573,573,955,950,0,950,612,612,1020,1360,0,1360,444,444,740,1805,1805,0,717,717,1195,2180,0,2180,1998,1998,7890,2787,203,167
49,216,216,360,0,0,0,216,216,360,30,30,0,312,312,520,160,160,0,321,321,535,330,0,330,411,411,685,600,0,600,543,543,905,920,0,920,606,606,1010,1390,1390,0,720,720,1200,1760,0,1760,420,420,700,2075,2075,0,1998,1998,7890,2787,203,167
