,sent
2020-04-22 04:50:00,1741.8482534897385
2020-04-22 04:51:00,1684.6591632172028
2020-04-22 04:52:00,1717.3951531911246
2020-04-22 04:53:00,1664.2522415229132
2020-04-22 04:54:00,1708.7817726465773
2020-04-22 04:55:00,1660.6035291562362
2020-04-22 04:56:00,1692.6752317532323
2020-04-22 04:57:00,1672.1595654854664
2020-04-22 04:58:00,1644.463456793424
2020-04-22 04:59:00,1708.203716026691
2020-04-22 05:00:00,1670.0265547691808
2020-04-22 05:01:00,1691.7132237980295
2020-04-22 05:02:00,1700.0377763427664
2020-04-22 05:03:00,1691.722202606658
2020-04-22 05:04:00,1734.0705922867905
2020-04-22 05:05:00,1669.8949654579922
2020-04-22 05:06:00,1708.4594657494017
2020-04-22 05:07:00,1727.8344439979971
2020-04-22 05:08:00,1692.289845333573
2020-04-22 05:09:00,1706.7214984861962
2020-04-22 05:10:00,1677.5354368571495
2020-04-22 05:11:00,1657.4666957072623
2020-04-22 05:12:00,1735.3893966718965
2020-04-22 05:13:00,1679.7245936845884
2020-04-22 05:14:00,1637.5610351532644
2020-04-22 05:15:00,1638.2508064469848
2020-04-22 05:16:00,1643.3681867512603
2020-04-22 05:17:00,1607.5158697245179
2020-04-22 05:18:00,1664.5866117069056
2020-04-22 05:19:00,1574.5380565712624
2020-04-22 05:20:00,1626.1211031939044
2020-04-22 05:21:00,1616.8041315946873
2020-04-22 05:22:00,1596.22057746767
2020-04-22 05:23:00,1644.9827789080227
2020-04-22 05:24:00,1566.9424955974887
2020-04-22 05:25:00,1540.8051078748513
2020-04-22 05:26:00,1556.0629165654993
2020-04-22 05:27:00,1563.6533793857627
2020-04-22 05:28:00,1565.9024690049798
2020-04-22 05:29:00,1557.9655916279492
2020-04-22 05:30:00,1542.242746060167
2020-04-22 05:31:00,1586.1576723791966
2020-04-22 05:32:00,1538.1482863098352
2020-04-22 05:33:00,1541.506599917615
2020-04-22 05:34:00,1516.999770335236
2020-04-22 05:35:00,1468.741999105301
2020-04-22 05:36:00,1516.6123346461125
2020-04-22 05:37:00,1524.8426627936053
2020-04-22 05:38:00,1470.1430025778482
2020-04-22 05:39:00,1532.7919653560575
2020-04-22 05:40:00,1459.4947807069077
2020-04-22 05:41:00,1505.0412844394675
2020-04-22 05:42:00,1463.3694195216242
2020-04-22 05:43:00,1446.2078576681156
2020-04-22 05:44:00,1447.9391686777285
2020-04-22 05:45:00,1452.975240939563
2020-04-22 05:46:00,1437.765419706014
2020-04-22 05:47:00,1489.7299974112063
2020-04-22 05:48:00,1406.8722229366415
2020-04-22 05:49:00,1411.2819577304408
2020-04-22 05:50:00,1433.094469626999
2020-04-22 05:51:00,1393.1303349716306
2020-04-22 05:52:00,1448.1856374139227
2020-04-22 05:53:00,1411.4901268713563
2020-04-22 05:54:00,1432.5688345412286
2020-04-22 05:55:00,1431.8242344174894
2020-04-22 05:56:00,1433.1258895744847
2020-04-22 05:57:00,1449.4473543047152
2020-04-22 05:58:00,1419.592027480242
2020-04-22 05:59:00,1431.220747197557
2020-04-22 06:00:00,1420.7595408239158
2020-04-22 06:01:00,1473.3455432608193
2020-04-22 06:02:00,1452.9534734086844
2020-04-22 06:03:00,1407.5762348659848
2020-04-22 06:04:00,1404.0926782783883
2020-04-22 06:05:00,1460.66375549544
2020-04-22 06:06:00,1320.5276382124175
2020-04-22 06:07:00,1416.9795907685213
2020-04-22 06:08:00,1289.710884108733
2020-04-22 06:09:00,843.3781923094193
2020-04-22 06:10:00,1772.1085520012714
2020-04-22 06:11:00,1498.2474442950179
2020-04-22 06:12:00,1342.0629109067008
2020-04-22 06:13:00,1350.1072267457832
2020-04-22 06:14:00,1369.8827376897486
2020-04-22 06:15:00,1166.6810950589092
2020-04-22 06:16:00,1441.0703100800831
2020-04-22 06:17:00,1362.8675074888208
2020-04-22 06:18:00,1331.094167951822
2020-04-22 06:19:00,1356.4442500260934
2020-04-22 06:20:00,1317.775685865422
2020-04-22 06:21:00,1367.365090860458
2020-04-22 06:22:00,1291.9792046921486
