,pc_100,pc_100,pc_100,pc_100,pc_100,pc_90,pc_90,pc_90,pc_90,pc_90,pc_80,pc_80,pc_80,pc_80,pc_80,pc_70,pc_70,pc_70,pc_70,pc_70,pc_60,pc_60,pc_60,pc_60,pc_60,history,history,history,history,history
,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion,datarate,downtime,buffertime,switchtime,wrongversion
82,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
83,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
84,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
85,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
86,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
87,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
88,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
89,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
90,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
91,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
92,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
93,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
94,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
95,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
96,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
97,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
98,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
99,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
100,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5415,3,3,5,0,5800,0,0,0,0,5800,0,0,0,0
101,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
102,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
103,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
104,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0
105,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,825,3,3,5,1,5800,0,0,0,0,5800,0,0,0,0
106,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
107,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
108,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
109,5800,0,0,0,0,5800,0,0,0,0,5800,0,0,0,0,668,0,0,0,1,5800,0,0,0,0,5800,0,0,0,0
